Date,Homicide and other related violations,Invitation to sexual touching,Sexual exploitation,Luring a child via a computer,Voyeurism,Non-consensual distribution of intimate images,Extortion,Criminal harassment,Indecent/Harassing communications,Uttering threats,Other violent violations,Fraud,Identity theft,Identity fraud,Mischief,Other non-violent violations,Fail to comply with order,Indecent acts,Child pornography,Making or distribution of child pornography,Corrupting morals,Breach of probation,Utter threats to property or animal,Offences against the person and reputation (Part VIII Criminal Code),Other Criminal Code,Other violations
20180121,0,1,1,37,1,11,84,40,101,118,5,557,7,51,2,1,8,1,15,83,0,2,3,4,4,2
20180128,0,2,0,63,1,11,118,48,100,114,9,542,10,41,3,1,1,0,14,115,0,2,3,6,2,1
20180204,1,2,0,39,0,7,79,27,116,41,6,548,11,35,2,6,1,0,9,110,0,3,3,4,4,1
20180211,0,2,0,10,3,1,18,50,85,74,11,453,7,29,6,5,5,0,10,47,0,0,2,4,5,2
20180218,0,1,0,33,2,6,43,32,53,52,5,403,7,42,3,6,3,0,15,115,0,1,2,5,5,0
20180225,0,3,0,19,1,1,26,29,5,14,5,186,5,12,1,4,4,0,20,78,0,2,2,2,0,1
20180304,0,0,1,18,1,12,12,6,15,13,2,256,1,20,2,5,13,0,15,72,0,3,1,2,1,0
20180311,0,3,0,28,1,16,4,2,55,34,7,499,2,37,5,5,10,0,2,11,1,0,1,0,2,2
20180318,0,0,0,30,1,11,14,2,92,9,8,328,7,32,5,4,12,0,15,87,0,3,3,2,0,0
20180325,0,1,0,20,0,13,7,7,57,90,8,430,7,19,3,0,13,1,4,115,1,1,0,2,3,2
20180401,0,3,0,7,2,10,15,37,25,2,7,275,6,30,6,4,11,0,17,104,1,4,2,4,3,1
20180408,0,1,1,21,2,2,34,14,24,45,4,284,5,8,3,2,13,1,15,100,0,3,2,1,1,1
20180415,0,1,0,38,3,22,39,35,46,64,5,353,5,48,0,3,12,0,22,35,0,3,2,1,5,0
20180422,0,0,1,13,2,7,1,36,13,2,7,209,2,8,3,3,6,1,20,35,0,3,0,6,1,1
20180429,0,2,0,10,1,10,17,32,6,21,0,74,3,6,4,5,2,1,5,25,1,3,1,0,2,0
20180506,0,0,1,12,0,23,31,51,67,36,5,541,3,37,4,6,1,1,4,31,1,3,2,1,5,2
20180513,0,3,1,48,0,1,52,49,62,51,4,351,11,31,4,5,7,0,15,79,0,3,1,2,6,0
20180520,0,1,0,45,3,8,71,27,104,66,1,567,12,37,0,3,7,0,6,7,0,0,2,4,1,2
20180527,0,1,0,39,1,4,55,22,94,67,4,494,9,52,5,4,3,1,4,107,1,2,1,3,4,2
20180603,0,4,0,21,1,7,45,21,61,79,11,435,8,41,3,0,4,0,12,77,0,3,0,3,5,0
20180610,0,2,1,41,2,3,37,22,91,77,10,311,5,52,1,7,5,0,19,110,0,2,1,4,5,2
20180617,0,3,0,7,1,3,36,27,37,30,8,110,2,17,1,3,8,0,7,73,0,3,1,2,5,0
20180624,0,1,1,20,3,12,38,37,64,9,1,298,3,1,5,4,17,0,14,9,0,0,1,5,3,2
20180701,0,0,0,5,2,8,9,55,8,9,0,133,3,4,0,1,15,1,23,95,0,1,1,1,1,2
20180708,0,3,0,17,2,4,58,32,2,17,9,17,6,22,4,2,17,0,22,67,1,1,3,5,1,2
20180715,0,3,1,17,3,21,22,18,33,27,7,23,1,14,1,6,16,0,4,32,0,1,1,1,2,2
20180722,0,3,0,12,3,12,2,7,41,11,3,142,5,28,3,5,0,0,6,17,1,2,1,5,4,2
20180729,0,3,1,17,2,10,3,18,95,40,3,485,6,33,4,5,4,0,6,53,0,0,3,4,5,2
20180805,0,0,1,19,0,23,18,44,8,20,3,4,5,2,1,6,16,0,10,48,1,3,2,2,2,1
20180812,0,3,0,52,1,8,109,6,124,110,0,536,8,48,5,5,17,1,11,39,0,2,3,4,3,2
20180819,0,3,1,55,0,14,105,39,110,96,2,840,15,50,2,4,16,1,19,34,0,1,3,2,1,0
20180826,0,2,0,44,2,5,25,13,60,63,0,494,7,31,1,3,3,1,5,87,0,2,2,1,0,0
20180902,0,1,0,24,2,10,7,20,49,33,3,113,5,16,6,0,3,0,22,95,0,3,1,1,0,2
20180909,0,1,0,14,2,3,10,38,16,34,7,402,5,22,5,2,2,1,11,32,0,1,1,2,2,1
20180916,0,3,0,0,1,8,39,14,28,10,2,541,1,10,4,2,17,1,23,68,1,0,3,2,0,1
20180923,0,3,0,45,2,22,68,56,97,48,5,423,5,39,1,2,15,0,11,3,0,3,3,1,2,1
20180930,0,2,1,4,2,17,1,17,14,47,1,140,2,27,2,3,5,1,8,18,1,2,0,1,2,0
20181007,0,1,0,26,1,9,29,19,28,15,9,350,2,10,4,0,17,0,22,98,0,0,0,4,1,2
20181014,0,3,1,25,2,25,29,14,59,37,5,317,3,23,4,4,4,0,2,121,1,3,1,6,2,1
20181021,0,3,1,24,3,1,27,57,54,31,2,264,5,29,3,2,13,0,23,50,0,1,3,2,2,2
20181028,0,0,0,17,1,18,31,20,35,32,8,355,7,29,1,6,11,0,17,25,1,0,0,0,3,1
20181104,0,3,0,15,3,24,31,18,46,39,1,250,5,25,0,5,8,0,17,30,1,1,0,5,0,1
20181111,0,3,0,21,3,20,19,14,40,39,8,173,6,28,2,6,17,0,9,71,0,2,1,2,3,2
20181118,0,2,0,12,0,1,29,9,43,41,4,337,4,17,2,2,14,1,19,117,1,3,0,1,2,2
20181125,0,4,1,21,2,23,32,12,55,43,0,236,6,30,4,6,4,1,1,44,0,3,2,0,2,2
20181202,0,4,0,20,1,14,28,5,39,38,1,178,7,24,5,1,12,0,2,30,0,2,2,1,3,2
20181209,0,3,0,18,0,19,24,17,16,25,4,140,2,8,4,5,16,0,12,5,1,3,0,1,1,2
20181216,0,2,0,6,1,2,20,27,20,14,3,68,0,2,0,3,1,0,7,18,0,0,2,1,4,2
20181223,0,3,1,6,0,22,10,21,15,11,3,105,0,0,5,1,6,1,1,13,1,2,3,6,4,0
20181231,0,2,3,3,1,2,1,26,2,6,7,2,0,4,3,2,16,2,10,13,3,3,0,3,3,4
20190107,0,1,1,3,2,2,2,9,1,6,3,10,0,3,0,6,6,1,36,99,1,1,1,4,2,0
20190114,0,4,0,42,1,25,24,57,88,75,5,744,6,43,4,0,6,0,36,81,0,4,1,4,4,1
20190121,0,1,0,20,0,6,21,8,75,42,1,149,7,36,6,3,18,1,25,3,0,4,0,2,1,1
20190128,0,2,1,31,1,15,25,33,86,99,7,485,8,35,6,9,14,1,12,52,0,1,3,0,0,1
20190204,1,2,1,12,3,10,18,108,47,73,2,261,7,27,0,7,5,1,1,54,1,3,2,1,3,0
20190211,0,2,0,16,3,11,11,5,20,48,1,37,2,11,3,1,10,1,17,150,1,0,4,1,3,0
20190218,0,1,1,11,3,23,18,86,71,1,1,21,1,28,0,6,10,1,8,97,0,2,1,1,1,1
20190225,0,3,1,4,1,4,15,14,26,50,7,45,4,6,1,1,8,1,26,16,0,1,0,4,2,0
20190304,0,4,1,12,2,23,18,26,68,14,1,361,3,22,1,2,17,1,30,144,1,2,1,1,0,1
20190311,0,3,1,30,0,10,22,49,88,88,3,445,5,38,2,9,15,0,11,29,1,2,1,2,4,1
20190318,1,2,0,10,2,19,22,30,88,99,9,527,8,34,4,5,19,0,43,136,0,4,3,2,5,1
20190325,0,2,1,19,1,22,25,6,82,37,0,241,6,19,1,3,2,1,38,6,1,2,2,2,2,0
20190401,0,0,0,34,2,2,22,102,92,89,6,465,7,23,3,9,1,1,9,16,1,3,1,1,1,0
20190408,0,1,1,22,3,10,2,36,3,4,2,163,1,22,3,9,10,1,14,89,0,2,3,3,2,1
20190415,0,4,0,12,3,23,16,65,24,25,3,103,2,13,5,6,3,0,36,102,1,2,1,3,2,1
20190422,1,1,0,18,2,21,2,21,56,40,5,13,6,5,1,6,11,0,27,44,1,5,2,0,1,0
20190429,0,2,1,29,2,7,24,53,23,98,13,174,3,28,3,9,13,1,0,6,1,4,0,1,1,1
20190506,0,3,0,12,2,21,37,0,78,6,9,309,1,16,3,4,18,0,38,31,0,2,1,1,3,0
20190513,0,3,0,28,2,24,7,1,101,105,10,352,10,44,5,3,18,1,16,152,0,5,3,2,7,0
20190520,0,3,0,29,2,4,20,36,78,1,5,79,1,47,5,7,16,1,26,41,1,1,1,1,2,1
20190527,0,4,0,14,1,11,7,24,62,34,6,377,11,34,3,2,14,1,10,36,1,5,2,1,4,0
20190603,0,3,1,41,2,1,52,84,63,159,3,715,13,64,4,8,10,1,28,44,0,3,1,3,5,1
20190610,0,4,1,30,2,10,39,43,213,189,4,983,15,58,6,9,11,1,38,109,0,4,1,2,2,1
20190617,0,4,1,45,0,15,60,88,151,170,12,1194,14,65,3,2,15,1,35,135,1,2,2,1,6,1
20190624,0,0,1,42,2,23,43,66,182,82,4,915,12,39,4,3,3,0,1,58,0,4,3,3,4,0
20190701,0,0,0,43,3,23,52,24,215,169,3,309,8,52,4,4,16,0,26,79,1,0,3,4,2,1
20190708,0,4,1,11,2,4,9,25,30,77,0,6,1,11,0,0,0,1,12,93,1,1,4,2,5,1
20190715,0,3,1,53,1,11,57,62,217,111,7,1135,20,64,5,5,10,0,37,146,1,5,4,4,4,1
20190722,0,1,1,27,1,3,25,116,152,100,8,297,5,34,4,7,9,1,12,144,0,1,0,2,1,1
20190729,0,4,1,64,1,25,54,57,206,179,10,1416,25,108,5,4,0,0,36,48,1,0,3,4,4,1
20190805,0,1,1,28,0,9,35,63,132,160,7,810,12,47,6,6,17,0,36,167,1,2,2,3,6,1
20190812,0,4,1,40,2,14,35,91,10,81,6,387,9,3,6,7,9,1,21,53,0,3,0,4,5,0
20190819,0,3,1,11,1,23,5,65,23,60,8,18,7,29,6,5,21,1,11,100,0,4,1,2,2,1
20190826,0,1,0,58,3,25,58,0,180,189,13,1275,22,88,2,1,11,1,45,4,1,1,1,3,6,1
20190902,0,3,0,68,3,1,52,114,253,147,11,399,14,108,4,5,4,1,19,146,1,4,4,4,5,0
20190909,0,4,0,41,2,0,56,75,158,87,6,1051,5,58,1,7,8,1,37,93,0,4,4,1,4,1
20190916,0,0,1,25,2,8,16,76,136,123,7,62,1,8,1,3,4,1,29,121,1,0,2,2,1,0
20190923,0,2,0,43,1,23,43,18,61,56,9,431,4,31,5,6,13,1,9,136,0,0,4,1,5,1
20190930,0,3,0,18,3,16,37,52,108,72,5,295,4,61,5,1,18,0,33,168,0,4,3,3,4,1
20191007,1,4,1,46,2,16,54,31,167,140,5,797,11,74,4,6,20,1,11,153,0,3,4,3,1,1
20191014,0,2,0,28,2,19,40,57,164,160,6,847,10,45,0,1,16,1,37,67,1,1,3,2,4,1
20191021,0,3,1,26,2,20,32,106,40,133,7,300,8,38,2,8,15,1,12,91,1,2,3,4,1,1
20191028,0,3,0,33,3,20,14,88,78,105,11,416,10,48,5,5,19,0,5,151,1,1,0,3,4,1
20191104,0,0,1,28,2,16,33,65,53,79,10,373,6,25,2,6,11,1,25,110,1,1,1,1,1,1
20191111,0,2,1,28,1,17,47,37,47,62,3,649,8,47,6,5,10,1,11,68,0,1,1,4,6,0
20191118,1,2,0,47,3,17,47,113,175,79,10,575,9,53,3,8,0,1,8,1,1,2,4,4,5,1
20191125,0,2,1,38,1,6,35,74,151,107,5,587,10,58,5,9,1,0,36,112,1,3,3,3,5,0
20191202,0,4,1,40,2,8,25,2,174,68,1,280,11,31,1,2,16,1,6,39,0,4,1,3,4,1
20191209,0,1,0,22,0,19,29,80,128,90,10,474,10,22,6,8,20,0,7,46,1,0,3,1,2,1
20191216,0,1,0,16,0,18,0,31,38,8,2,102,0,19,0,8,3,1,4,71,0,1,3,2,4,0
20191223,0,1,0,2,1,8,3,57,10,17,4,137,3,13,6,8,16,0,43,80,1,2,2,1,5,0
20191231,0,4,1,11,1,15,2,91,24,35,13,150,2,15,7,2,3,1,4,25,1,5,5,3,8,2
20200107,0,4,1,2,1,22,11,92,47,23,0,242,1,9,2,11,9,0,26,6,1,3,1,4,1,1
20200114,0,1,0,13,2,23,2,35,29,33,3,285,12,35,3,12,4,1,45,95,1,4,1,0,4,1
20200121,0,3,0,13,1,17,23,84,42,55,4,22,0,35,0,10,26,1,9,46,1,4,1,1,5,1
20200128,0,4,0,19,1,8,5,53,59,27,0,305,10,49,9,3,31,0,46,10,1,1,2,7,9,0
20200204,1,0,1,18,2,27,47,32,117,106,6,301,11,68,9,3,18,0,57,132,0,1,4,2,9,0
20200211,0,1,0,38,1,17,29,56,130,100,3,367,10,81,8,3,20,1,32,40,0,0,2,6,8,1
20200218,0,5,0,36,1,21,66,108,81,127,7,482,14,101,3,2,22,1,12,58,0,1,3,2,1,0
20200225,0,5,0,34,3,26,61,75,118,72,4,534,13,108,10,2,13,1,2,89,1,3,1,1,2,1
20200303,0,1,1,39,3,14,83,17,105,97,0,752,15,112,8,0,26,1,13,146,1,1,3,1,5,1
20200310,0,5,0,40,0,22,78,110,138,116,10,652,17,101,10,3,28,1,13,75,1,3,4,1,3,0
20200317,0,1,1,22,3,6,21,65,110,92,6,743,14,74,10,12,16,1,62,133,0,0,2,2,4,1
20200324,0,4,1,36,4,11,39,55,89,53,8,574,12,80,7,14,6,0,28,233,1,1,3,3,3,0
20200331,0,2,1,9,2,18,2,46,60,31,1,155,6,16,4,1,26,0,51,70,1,0,5,3,5,1
20200407,0,5,0,10,2,10,2,12,29,27,2,142,1,24,4,12,8,1,10,212,1,1,0,1,5,0
20200414,0,1,0,17,1,21,2,30,14,38,7,52,4,12,1,2,6,1,53,21,1,4,0,3,6,1
20200421,0,4,1,9,1,27,27,92,69,23,3,172,5,28,3,9,15,0,22,133,1,1,3,2,1,1
20200428,2,2,0,18,2,19,30,77,97,58,2,75,14,6,10,13,17,0,8,152,0,2,2,1,1,0
20200505,0,5,0,20,1,8,5,3,51,35,1,261,9,21,0,8,4,0,57,24,1,1,0,1,1,0
20200512,0,4,1,7,4,1,24,34,31,84,0,137,10,15,5,2,15,0,9,181,1,2,2,3,5,1
20200519,0,1,1,31,0,19,23,52,104,96,0,384,7,127,2,3,8,1,18,128,1,1,2,1,8,0
20200526,0,3,1,30,1,28,55,86,77,91,9,716,14,99,5,5,1,0,61,93,0,3,5,4,2,1
20200602,0,3,0,42,4,23,59,11,147,107,1,708,11,90,1,9,18,0,55,173,1,4,0,1,2,1
20200609,0,2,1,27,1,17,61,6,139,95,6,671,14,105,9,1,9,1,31,187,1,2,3,6,7,0
20200616,0,5,1,35,1,29,59,4,104,104,10,732,13,126,2,10,4,1,11,49,1,4,4,2,1,1
20200623,0,2,1,37,2,2,57,3,136,79,9,690,16,122,7,14,5,0,3,80,1,0,4,1,0,1
20200630,0,4,0,36,0,23,63,58,127,95,9,674,17,94,4,5,4,1,56,129,0,3,5,1,5,0
20200707,0,3,1,7,4,18,15,6,33,121,11,450,12,119,4,2,26,1,45,114,1,3,5,1,0,1
20200714,0,2,0,9,3,1,12,56,6,8,4,308,13,1,7,3,19,0,9,137,1,3,2,6,4,0
20200721,0,1,1,16,3,3,25,92,61,38,3,354,0,48,3,14,30,1,7,96,1,0,1,3,5,1
20200728,0,3,1,23,0,10,26,69,28,43,4,333,6,31,2,8,27,1,31,0,1,4,1,1,4,1
20200804,0,3,1,28,3,14,59,78,21,44,6,623,15,64,4,4,9,1,30,29,1,2,5,2,3,0
20200811,0,4,0,5,3,22,7,83,3,35,10,37,1,24,1,5,24,1,58,91,1,2,5,3,1,1
20200818,0,3,1,59,4,7,69,65,226,37,4,673,30,150,7,12,5,0,49,143,0,1,1,2,4,1
20200825,0,2,1,28,1,14,71,13,277,182,10,1054,28,194,7,0,6,0,52,31,0,2,4,4,7,1
20200901,0,3,0,56,3,14,94,37,196,216,1,641,18,190,8,3,24,0,30,113,0,2,4,2,7,0
20200908,0,3,1,64,2,21,74,107,266,243,5,1131,22,194,6,4,7,0,25,39,0,4,5,5,3,0
20200915,0,1,0,65,3,9,110,47,63,149,8,827,22,103,8,12,30,1,32,144,1,1,2,6,4,0
20200922,0,3,0,62,3,17,100,115,278,152,8,1036,24,145,10,10,28,1,20,92,1,5,3,6,4,1
20200929,0,5,1,57,2,25,40,98,230,131,5,655,11,42,1,5,18,1,18,216,1,5,2,4,6,0
20201006,0,0,1,7,3,4,48,74,161,59,6,942,11,12,4,3,9,1,35,148,0,3,2,6,2,0
20201013,0,5,0,1,4,27,54,70,112,48,11,327,24,82,5,8,4,1,31,53,0,3,4,5,4,1
20201020,0,4,0,4,4,3,39,20,92,49,7,519,13,18,9,5,23,1,1,129,0,2,4,1,2,0
20201027,0,0,1,56,1,29,56,64,77,52,4,106,9,28,10,1,18,0,15,36,1,1,3,6,1,1
20201103,0,3,0,44,2,23,46,45,34,137,10,644,6,120,1,9,5,0,40,205,1,4,3,1,1,1
20201110,0,2,0,36,2,14,73,93,114,191,3,530,10,39,7,2,11,0,22,177,1,2,5,7,9,1
20201117,0,3,1,51,3,9,68,54,209,176,10,764,18,54,8,7,17,1,5,210,0,3,1,6,5,1
20201124,0,3,1,25,2,14,75,102,218,79,3,618,18,34,1,10,0,1,45,163,1,0,4,2,7,0
20201201,0,1,0,56,2,21,101,103,267,127,8,790,15,257,5,6,1,1,54,136,0,1,4,3,10,1
20201208,0,1,1,64,1,4,108,90,163,226,10,1306,39,329,7,1,4,0,31,233,0,0,5,1,5,0
20201215,0,4,0,102,2,22,102,109,259,314,10,1568,34,228,3,11,13,1,44,48,1,4,2,6,9,1
20201222,0,4,0,84,1,27,78,76,273,244,7,1536,28,315,9,5,14,0,43,202,0,2,5,6,10,0
20201231,0,0,0,110,1,27,87,122,270,163,8,1181,45,223,6,8,17,1,36,219,1,2,4,5,3,0
20210107,0,1,1,7,0,13,1,45,19,3,1,41,3,9,2,9,10,0,73,154,0,4,3,1,2,0
20210114,0,4,1,10,1,2,13,10,48,54,0,18,1,39,2,13,13,0,43,59,1,1,5,4,1,0
20210121,0,1,1,9,1,0,53,9,87,62,4,392,3,77,5,13,14,1,65,124,0,3,3,3,4,1
20210128,1,3,0,38,0,3,37,50,102,117,9,804,13,82,9,8,12,1,65,55,0,3,2,4,1,1
20210204,0,1,0,50,3,33,101,41,157,77,9,749,0,109,3,14,1,0,21,21,1,3,1,4,3,0
20210211,0,3,1,33,0,28,30,71,69,71,4,419,1,131,6,5,0,1,6,102,1,3,3,6,7,1
20210218,0,2,0,32,5,19,63,24,132,63,10,550,20,127,9,7,33,1,46,45,0,0,2,2,2,1
20210225,1,4,0,8,4,26,44,62,52,78,1,722,12,89,7,8,22,0,36,39,0,4,4,7,7,1
20210304,0,3,1,64,5,2,86,2,139,178,9,642,43,115,5,3,4,1,36,127,1,1,1,6,4,0
20210311,0,3,0,48,2,27,125,67,224,105,3,1017,40,153,3,1,5,1,69,177,1,2,3,7,9,0
20210318,0,6,1,64,4,23,62,14,203,60,5,1119,25,113,4,5,27,0,23,40,1,3,3,2,1,0
20210325,0,5,0,35,2,32,63,99,221,190,10,1120,22,130,1,10,21,0,33,65,0,2,6,7,5,1
20210401,1,3,0,63,2,9,112,66,224,193,5,927,33,155,2,7,1,1,6,160,1,3,5,7,9,1
20210408,0,3,1,50,0,11,70,105,113,137,12,1177,28,139,8,1,10,1,67,139,0,3,1,2,4,1
20210415,0,2,0,27,3,22,82,46,153,123,4,836,9,118,6,8,23,1,54,190,0,3,0,3,4,1
20210422,0,4,1,51,2,29,71,61,137,161,12,1447,31,137,9,0,32,1,71,191,0,1,5,6,7,1
20210429,0,1,1,25,3,13,93,91,211,179,11,795,21,156,9,0,12,1,71,177,1,4,3,5,4,1
20210506,0,0,1,56,0,7,106,76,199,170,2,1173,20,108,2,11,2,1,41,29,0,2,5,7,6,1
20210513,0,2,0,40,0,11,70,88,81,70,13,395,24,87,4,6,29,0,63,74,1,1,4,3,3,1
20210520,0,4,1,51,0,33,86,30,181,17,4,811,22,164,0,6,24,0,28,107,1,2,4,2,9,0
20210527,0,2,0,59,1,3,47,100,178,117,15,619,21,155,3,11,28,0,39,177,0,1,5,7,9,0
20210603,0,0,1,47,1,30,94,100,162,126,5,557,27,104,4,1,15,0,4,185,0,2,2,1,7,1
20210610,0,0,1,25,2,22,25,103,48,73,7,221,2,35,1,10,17,1,45,79,0,1,2,3,3,1
20210617,0,3,0,5,1,25,2,60,86,31,6,27,2,27,3,2,24,0,21,188,1,3,3,7,2,1
20210624,0,6,0,21,5,15,32,99,72,41,5,33,2,27,11,1,12,0,18,165,1,4,1,0,1,0
20210701,0,4,1,4,4,33,12,45,56,6,3,429,7,72,10,7,4,0,2,71,0,3,1,1,5,0
20210708,0,6,0,25,6,27,57,18,98,17,2,171,20,141,11,3,23,1,15,72,0,0,6,4,5,0
20210715,0,1,1,16,1,10,29,55,103,36,3,276,9,84,4,4,29,1,12,95,1,0,2,0,8,1
20210722,0,2,1,26,6,34,52,26,107,20,6,142,6,62,9,14,32,1,17,58,1,2,2,1,8,1
20210729,0,4,1,16,5,33,11,37,132,44,13,220,8,49,9,9,14,1,9,26,0,0,2,8,2,1
20210805,0,5,0,8,0,7,29,51,74,8,4,474,18,22,1,8,2,1,3,13,0,0,6,1,6,1
20210812,0,0,1,7,1,18,13,104,15,89,3,184,9,42,10,13,26,0,60,32,1,1,2,2,0,1
20210819,0,7,1,28,5,11,54,89,154,142,15,454,14,95,11,0,17,1,37,50,1,1,2,7,4,0
20210826,0,4,1,37,6,3,49,27,120,103,6,270,17,123,11,12,31,1,1,152,1,4,3,6,8,1
20210902,0,0,1,7,3,13,56,104,192,169,8,1307,15,151,3,8,31,1,59,129,0,1,5,8,4,1
20210909,0,6,0,77,4,11,113,112,149,157,3,1119,26,126,2,12,25,1,13,3,0,4,0,4,7,0
20210916,0,4,0,65,3,23,93,21,192,150,10,891,24,142,11,4,30,1,11,90,1,1,2,6,6,0
20210923,0,2,1,77,4,19,93,26,176,201,2,1452,28,148,5,4,6,1,37,162,0,4,5,2,2,0
20210930,0,5,0,72,5,13,141,83,166,116,9,1560,22,144,7,10,34,1,58,184,0,3,3,4,1,1
20211007,0,1,1,20,5,22,46,109,6,38,1,166,3,2,11,6,17,1,20,112,0,0,2,7,5,1
20211014,0,4,1,17,3,3,46,91,15,42,3,175,9,35,0,11,14,1,16,71,0,2,6,3,4,1
20211021,0,3,0,8,0,24,12,50,29,6,5,159,1,91,5,0,27,0,28,176,1,4,0,4,1,1
20211028,0,1,1,40,1,16,65,73,124,3,4,102,9,98,4,12,17,1,49,120,0,5,5,7,8,1
20211104,0,6,1,44,4,1,65,64,156,101,7,835,18,114,9,10,1,1,47,75,1,4,3,5,9,0
20211111,1,0,0,40,6,13,81,118,179,172,10,1072,25,139,7,0,16,1,41,63,1,2,6,7,3,0
20211118,0,3,1,34,3,7,88,64,188,170,13,773,37,183,8,2,6,0,71,153,0,1,5,5,6,0
20211125,0,2,1,49,0,23,106,112,142,137,11,1410,22,118,2,4,5,1,35,191,1,4,4,4,4,1
20211202,0,6,1,50,5,5,111,51,192,171,13,1435,21,171,3,8,30,1,1,154,0,1,5,6,8,1
20211209,0,6,0,58,2,16,75,103,223,94,1,503,25,85,7,12,35,1,67,155,1,1,4,2,8,0
20211216,0,4,1,47,0,20,50,26,145,121,12,1157,22,123,1,3,15,1,56,54,0,4,3,6,8,0
20211223,0,4,0,49,4,1,38,115,184,125,13,556,16,109,5,11,11,1,63,116,1,4,6,5,7,0
20211231,0,1,4,7,4,26,7,54,96,73,11,177,8,61,7,13,1,3,31,85,1,2,2,4,4,4
